dataset,split,num_experts,points_per_split,nlpd_experts,nlpd_single_gp,nlpd_gpoe,nlpd_phs,nlpd_bhs
yacht,6,4,2,-0.1465016509613977,-1.1781367548302952,-0.9640421702728302,-0.9391500614661256,-0.6745812049615472
yacht,7,4,2,0.7080856717848062,-0.6286442843232641,0.1835311129943562,0.0093935225854271,-0.4286397442879195
yacht,8,4,2,-0.3489724485249607,-1.0120056077167745,-0.6286596076146415,-0.7735974372078736,-0.6626171364503092
yacht,9,4,2,0.6508151264623678,-0.4679293842277315,0.0271190433996416,-0.3630964612302114,-0.5193724693014067
yacht,0,4,5,2.270309054445206,2.8663832121313457,1.734689911699557,0.7425723509715095,1.0163235678949425
yacht,1,4,5,1.0853514716048425,0.2693042163995594,0.2903088133230375,-0.1875926378719275,-0.1938938144412679
yacht,2,4,5,1.8978706710672584,-0.474917398489785,1.1974247759250425,0.6253902777903875,-0.2459739199467239
yacht,3,4,5,-0.2637566469606691,-1.182987938290881,-0.7068502778262541,-0.7933953472436529,-0.8827768637409317
yacht,4,4,5,-0.3328002515757026,-1.204358559394413,-0.7115510824070508,-0.782879480873285,-0.6511823256760794
yacht,5,4,5,0.0833023888955743,-0.5972137792184422,-0.3520861362991527,-0.6874259941428403,-0.6638487120957236
yacht,6,4,5,-0.1465016509613977,-1.1781367548302952,-0.9640421702728302,-0.9510717182983704,-0.68121187528359
yacht,7,4,5,0.7080856717848062,-0.6286442843232641,0.1835311129943562,-0.0438666768833659,-0.4629699600305661
yacht,8,4,5,-0.3489724485249607,-1.0120056077167745,-0.6286596076146415,-0.9124059669357008,-0.6699321845698807
yacht,9,4,5,0.6508151264623678,-0.4679293842277315,0.0271190433996416,-0.4574327295322268,-0.5399446601467256
yacht,0,4,10,2.270309054445206,2.8663832121313457,1.734689911699557,0.7987787420547849,1.0083606088944572
yacht,1,4,10,1.0853514716048425,0.2693042163995594,0.2903088133230375,-0.2222014006765165,-0.2248825777049595
yacht,2,4,10,1.8978706710672584,-0.474917398489785,1.1974247759250425,1.0080860764839952,-0.2385437854494285
yacht,3,4,10,-0.2637566469606691,-1.182987938290881,-0.7068502778262541,-0.8786708796565638,-0.9401158898430958
yacht,4,4,10,-0.3328002515757026,-1.204358559394413,-0.7115510824070508,-0.779371816722402,-0.6781890088491425
yacht,5,4,10,0.0833023888955743,-0.5972137792184422,-0.3520861362991527,-0.6044959758321784,-0.7158181628196663
yacht,6,4,10,-0.1465016509613977,-1.1781367548302952,-0.9640421702728302,-1.031153058911159,-0.8064685963464557
yacht,7,4,10,0.7080856717848062,-0.6286442843232641,0.1835311129943562,-0.1534718025262715,-0.4963998541976011
yacht,8,4,10,-0.3489724485249607,-1.0120056077167745,-0.6286596076146415,-0.7843221617843555,-0.7293706363380265
yacht,9,4,10,0.6508151264623678,-0.4679293842277315,0.0271190433996416,-0.5039115970423136,-0.5329627712967033
yacht,0,4,20,2.270309054445206,2.8663832121313457,1.734689911699557,0.8169693570987325,0.9282494746769074
yacht,0,6,2,2.990085997467004,2.8663832121313457,2.468631744587655,1.3580596030920944,0.3151729945034834
yacht,1,6,2,1.917125904466898,0.2693042163995594,0.3352211770630354,-0.0509125446985923,-0.4010792138349952
yacht,2,6,2,1.92629156484677,-0.474917398489785,1.231208760519077,0.5774551123748559,-0.1536096467305912
yacht,3,6,2,-0.110451928957333,-1.182987938290881,-0.433626479821673,-0.507967989017965,-0.5310272965815193
yacht,4,6,2,0.1490095796075585,-1.204358559394413,-0.6898555411146812,-0.7261045293318065,-0.3936670159851687
yacht,5,6,2,0.2292040767729948,-0.5972137792184422,-0.4574776017641783,-0.5694746236553991,-0.4913845027192391
yacht,6,6,2,-0.0795670136369222,-1.1781367548302952,-0.9275523613281694,-0.9032958539904868,-0.5790511649811899
yacht,7,6,2,1.1981741653503108,-0.6286442843232641,0.4277861667649063,0.1533608655732526,-0.2732150921113982
yacht,8,6,2,-0.340172071809856,-1.0120056077167745,-0.8082304754184346,-0.846481094707311,-0.6292968263659351
yacht,9,6,2,0.5255357302753,-0.4679293842277315,-0.2376309081564662,-0.4152253066716254,-0.4516302860189292
yacht,0,6,5,2.990085997467004,2.8663832121313457,2.468631744587655,1.3182446527641092,0.305197022275836
yacht,1,6,5,1.917125904466898,0.2693042163995594,0.3352211770630354,-0.1924564349169896,-0.417809328129683
yacht,2,6,5,1.92629156484677,-0.474917398489785,1.231208760519077,0.7226386468538358,-0.1228052459870751
yacht,3,6,5,-0.110451928957333,-1.182987938290881,-0.433626479821673,-0.4949786060832212,-0.5321255174924479
yacht,4,6,5,0.1490095796075585,-1.204358559394413,-0.6898555411146812,-0.7496958007063399,-0.4003593780674333
yacht,5,6,5,0.2292040767729948,-0.5972137792184422,-0.4574776017641783,-0.5516375776422227,-0.5496243583090903
yacht,6,6,5,-0.0795670136369222,-1.1781367548302952,-0.9275523613281694,-0.973103500894645,-0.6385037208003963
yacht,7,6,5,1.1981741653503108,-0.6286442843232641,0.4277861667649063,0.1722195375601495,-0.281704971216652
yacht,8,6,5,-0.340172071809856,-1.0120056077167745,-0.8082304754184346,-0.8961604879621122,-0.765992646465779
yacht,9,6,5,0.5255357302753,-0.4679293842277315,-0.2376309081564662,-0.4643636199901694,-0.4797297841422914
yacht,0,6,10,2.990085997467004,2.8663832121313457,2.468631744587655,0.597731134700417,0.3447071799716666
yacht,1,6,10,1.917125904466898,0.2693042163995594,0.3352211770630354,-0.3279516342826599,-0.4489932867612496
yacht,2,6,10,1.92629156484677,-0.474917398489785,1.231208760519077,0.3693258088204669,-0.142881546878868
yacht,3,6,10,-0.110451928957333,-1.182987938290881,-0.433626479821673,-0.6171353238709032,-0.539650252544389
yacht,4,6,10,0.1490095796075585,-1.204358559394413,-0.6898555411146812,-0.8021720481941956,-0.3968736881587427
yacht,5,6,10,0.2292040767729948,-0.5972137792184422,-0.4574776017641783,-0.7056184440287674,-0.6111582565949467
yacht,6,6,10,-0.0795670136369222,-1.1781367548302952,-0.9275523613281694,-0.9831258300746072,-0.6853998221215504
yacht,7,6,10,1.1981741653503108,-0.6286442843232641,0.4277861667649063,0.1382581605653148,-0.3110904295360067
yacht,8,6,10,-0.340172071809856,-1.0120056077167745,-0.8082304754184346,-0.9233654056518092,-0.7871400012396838
yacht,9,6,10,0.5255357302753,-0.4679293842277315,-0.2376309081564662,-0.5413142700772748,-0.5527156508874929
autompg,0,2,2,2.4582755186390823,2.368281909640712,2.4238723906245943,2.3853276778375814,2.413414835955166
autompg,0,2,5,2.4582755186390823,2.368281909640712,2.4238723906245943,2.3527236938390708,2.4094112015803444
autompg,0,2,10,2.4582755186390823,2.368281909640712,2.4238723906245943,2.2753402039387143,2.4100613716183616
autompg,0,4,2,2.5132337754025267,2.368281909640712,2.428040731046104,2.360893094089938,2.403125870555461
autompg,0,4,5,2.5132337754025267,2.368281909640712,2.428040731046104,2.340425702125733,2.4016021322544354
autompg,0,4,10,2.5132337754025267,2.368281909640712,2.428040731046104,2.3346094854346355,2.403669694228866
autompg,0,6,2,2.5623915204542462,2.368281909640712,2.363202545147627,2.3255506249259907,2.380285213854864
autompg,0,6,5,2.5623915204542462,2.368281909640712,2.363202545147627,2.3250777151533075,2.375230910888446
autompg,0,6,10,2.5623915204542462,2.368281909640712,2.363202545147627,2.321530692384456,2.37222542635912
autompg,1,2,2,2.324563567265698,2.282089979616825,2.28484091872611,2.257258801320153,2.298363466739361
autompg,1,2,5,2.324563567265698,2.282089979616825,2.28484091872611,2.264347188585373,2.29808721916938
autompg,1,2,10,2.324563567265698,2.282089979616825,2.28484091872611,2.254191976963481,2.29749931067202
autompg,1,4,2,2.408685429576511,2.282089979616825,2.251399406448402,2.264710529213984,2.2956628741072387
autompg,1,4,5,2.408685429576511,2.282089979616825,2.251399406448402,2.2499177731024527,2.291932996937694
