dataset,split,num_experts,points_per_split,nlpd_single_gp,nlpd_experts,nlpd_gpoe,nlpd_phs,nlpd_bhs
yacht,3,4,10,-1.1729176687342933,-0.24330982365340897,-0.7146671427295772,-0.9355358,-0.9300179
yacht,4,6,2,-1.1623147077393454,0.005329580658968429,-0.7557079631351942,-0.7806097,-0.52701
yacht,4,4,5,-1.1623147077393454,-0.39710532255980574,-0.736428697621404,-0.80775017,-0.65553975
yacht,5,2,2,-0.6504945486907512,-0.4746396401265926,-0.6599351844444616,-0.7970907,-0.7278563
yacht,5,2,5,-0.6504945486907512,-0.4746396401265926,-0.6599351844444616,-0.8075586,-0.7531264
yacht,5,4,2,-0.6504945486907512,0.17254767424890993,-0.25294865308571374,-0.61692923,-0.6860731
yacht,3,6,5,-1.1729176687342933,-0.2900439857076767,-0.5525365266831833,-0.69976175,-0.5567051
yacht,5,2,10,-0.6504945486907512,-0.4746396401265926,-0.6599351844444616,-0.8944255,-0.7990062
yacht,5,4,5,-0.6504945486907512,0.17254767424890993,-0.25294865308571374,-0.84366125,-0.74843335
yacht,6,2,2,-1.1452929858452392,-0.3993986387186751,-0.7049864992410484,-0.79048574,-0.7260877
yacht,5,6,2,-0.6504945486907512,0.09668314441791763,-0.5101450079735628,-0.60352063,-0.49333012
yacht,6,2,5,-1.1452929858452392,-0.3993986387186751,-0.7049864992410484,-0.84262204,-0.72653526
yacht,4,6,5,-1.1623147077393454,0.005329580658968429,-0.7557079631351942,-0.8455984,-0.53131336
yacht,6,2,10,-1.1452929858452392,-0.3993986387186751,-0.7049864992410484,-0.9054967,-0.7244068
yacht,4,4,10,-1.1623147077393454,-0.39710532255980574,-0.736428697621404,-0.7760796,-0.6654381
yacht,6,4,2,-1.1452929858452392,0.11409917081930507,-0.8796987613000783,-0.8351793,-0.66429496
yacht,6,4,5,-1.1452929858452392,0.11409917081930507,-0.8796987613000783,-0.8976866,-0.7400233
yacht,5,6,5,-0.6504945486907512,0.09668314441791763,-0.5101450079735628,-0.64532834,-0.5309239
yacht,5,4,10,-0.6504945486907512,0.17254767424890993,-0.25294865308571374,-0.8022629,-0.7900114
yacht,6,6,2,-1.1452929858452392,-0.15160349689224992,-0.78978423756311,-0.74729776,-0.5479186
yacht,7,2,5,-0.5032271130671654,0.5011372254471105,-0.06260793507139283,-0.45745832,-0.50380385
yacht,7,2,2,-0.5032271130671654,0.5011372254471105,-0.06260793507139283,-0.52223575,-0.5129314
yacht,7,4,2,-0.5032271130671654,0.5981646184883859,0.07971527934910524,-0.043068454,-0.5125181
yacht,7,2,10,-0.5032271130671654,0.5011372254471105,-0.06260793507139283,-0.46164623,-0.50008994
yacht,7,4,5,-0.5032271130671654,0.5981646184883859,0.07971527934910524,-0.1346977,-0.55136913
yacht,7,6,2,-0.5032271130671654,1.2001335297738023,0.4556385428180842,0.060067423,-0.35761762
yacht,6,6,5,-1.1452929858452392,-0.15160349689224992,-0.78978423756311,-0.8026527,-0.6435458
yacht,8,2,2,-0.9561357711631402,-0.4755968301866658,-0.571840836588719,-0.6197666,-0.6168845
yacht,8,2,5,-0.9561357711631402,-0.4755968301866658,-0.571840836588719,-0.7015778,-0.6484739
yacht,8,2,10,-0.9561357711631402,-0.4755968301866658,-0.571840836588719,-0.79604554,-0.67866915
yacht,8,4,2,-0.9561357711631402,-0.3380784843042623,-0.592213468427925,-0.6575159,-0.6926817
yacht,6,4,10,-1.1452929858452392,0.11409917081930507,-0.8796987613000783,-0.9688179,-0.81615686
yacht,7,4,10,-0.5032271130671654,0.5981646184883859,0.07971527934910524,-0.21410412,-0.5768971
yacht,7,6,5,-0.5032271130671654,1.2001335297738023,0.4556385428180842,0.06487051,-0.3723227
yacht,8,4,5,-0.9561357711631402,-0.3380784843042623,-0.592213468427925,-0.7356647,-0.7163635
yacht,8,6,2,-0.9561357711631402,-0.3046100679055779,-0.726742891019963,-0.7629126,-0.5698668
yacht,3,6,10,-1.1729176687342933,-0.2900439857076767,-0.5525365266831833,-0.7707981,-0.60337454
yacht,9,2,2,-0.33166610925973555,-0.2319210930252059,-0.44793794695773975,-0.55421746,-0.47724244
