F-value for bike: [3668.59653571], p-value: [6.4898415e-200]
Multiple Comparison of Means - Tukey HSD, FWER=0.05 
====================================================
group1 group2 meandiff p-adj   lower   upper  reject
     1     15  -0.1527    0.0 -0.1726 -0.1327   True
     1     16  -0.0644    0.0 -0.0844 -0.0444   True
     1     17  -0.0649    0.0 -0.0849 -0.0449   True
     1     18  -0.0638    0.0 -0.0837 -0.0438   True
     2      3  -0.0021    1.0  -0.022  0.0179  False
     2      4   0.1161    0.0  0.0961  0.1361   True
     2      5   0.1155    0.0  0.0955  0.1354   True
     2      6   0.1132    0.0  0.0933  0.1332   True
     2      7   0.2546    0.0  0.2347  0.2746   True
     2      8   0.2534    0.0  0.2334  0.2733   True
     2      9   0.2542    0.0  0.2342  0.2741   True
     2     10  -0.1758    0.0 -0.1957 -0.1558   True
     2     11  -0.1763    0.0 -0.1962 -0.1563   True
     2     12  -0.1747    0.0 -0.1947 -0.1548   True
     2     13  -0.1524    0.0 -0.1724 -0.1324   True
     2     14  -0.1528    0.0 -0.1727 -0.1328   True
     2     15  -0.1516    0.0 -0.1715 -0.1316   True
     2     16  -0.0633    0.0 -0.0833 -0.0433   True
     2     17  -0.0638    0.0 -0.0838 -0.0438   True
     2     18  -0.0627    0.0 -0.0827 -0.0427   True
     3      4   0.1182    0.0  0.0982  0.1381   True
     3      5   0.1175    0.0  0.0976  0.1375   True
     3      6   0.1153    0.0  0.0953  0.1353   True
     3      7   0.2567    0.0  0.2367  0.2767   True
     3      8   0.2554    0.0  0.2355  0.2754   True
     3      9   0.2562    0.0  0.2363  0.2762   True
     3     10  -0.1737    0.0 -0.1937 -0.1537   True
     3     11  -0.1742    0.0 -0.1942 -0.1542   True
     3     12  -0.1727    0.0 -0.1926 -0.1527   True
     3     13  -0.1503    0.0 -0.1703 -0.1303   True
     3     14  -0.1507    0.0 -0.1707 -0.1307   True
     3     15  -0.1495    0.0 -0.1695 -0.1295   True
     3     16  -0.0612    0.0 -0.0812 -0.0413   True
     3     17  -0.0617    0.0 -0.0817 -0.0418   True
     3     18  -0.0606    0.0 -0.0806 -0.0407   True
     4      5  -0.0006    1.0 -0.0206  0.0193  False
     4      6  -0.0029    1.0 -0.0229  0.0171  False
     4      7   0.1385    0.0  0.1186  0.1585   True
     4      8   0.1373    0.0  0.1173  0.1572   True
     4      9   0.1381    0.0  0.1181   0.158   True
     4     10  -0.2919    0.0 -0.3118 -0.2719   True
     4     11  -0.2924    0.0 -0.3123 -0.2724   True
     4     12  -0.2908    0.0 -0.3108 -0.2709   True
     4     13  -0.2685    0.0 -0.2885 -0.2485   True
     4     14  -0.2689    0.0 -0.2888 -0.2489   True
     4     15  -0.2677    0.0 -0.2877 -0.2477   True
     4     16  -0.1794    0.0 -0.1994 -0.1595   True
     4     17  -0.1799    0.0 -0.1999 -0.1599   True
     4     18  -0.1788    0.0 -0.1988 -0.1588   True
     5      6  -0.0023    1.0 -0.0222  0.0177  False
     5      7   0.1392    0.0  0.1192  0.1591   True
     5      8   0.1379    0.0  0.1179  0.1579   True
     5      9   0.1387    0.0  0.1187  0.1587   True
     5     10  -0.2912    0.0 -0.3112 -0.2713   True
     5     11  -0.2917    0.0 -0.3117 -0.2718   True
     5     12  -0.2902    0.0 -0.3102 -0.2702   True
     5     13  -0.2679    0.0 -0.2878 -0.2479   True
     5     14  -0.2682    0.0 -0.2882 -0.2483   True
     5     15   -0.267    0.0  -0.287 -0.2471   True
     5     16  -0.1788    0.0 -0.1988 -0.1588   True
     5     17  -0.1793    0.0 -0.1993 -0.1593   True
     5     18  -0.1782    0.0 -0.1981 -0.1582   True
     6      7   0.1414    0.0  0.1214  0.1614   True
     6      8   0.1401    0.0  0.1202  0.1601   True
     6      9   0.1409    0.0   0.121  0.1609   True
     6     10   -0.289    0.0 -0.3089  -0.269   True
     6     11  -0.2895    0.0 -0.3095 -0.2695   True
     6     12   -0.288    0.0 -0.3079  -0.268   True
     6     13  -0.2656    0.0 -0.2856 -0.2456   True
     6     14   -0.266    0.0 -0.2859  -0.246   True
     6     15  -0.2648    0.0 -0.2848 -0.2448   True
     6     16  -0.1765    0.0 -0.1965 -0.1566   True
     6     17   -0.177    0.0  -0.197 -0.1571   True
     6     18  -0.1759    0.0 -0.1959 -0.1559   True
     7      8  -0.0013    1.0 -0.0212  0.0187  False
     7      9  -0.0005    1.0 -0.0204  0.0195  False
     7     10  -0.4304    0.0 -0.4504 -0.4104   True
     7     11  -0.4309    0.0 -0.4509 -0.4109   True
     7     12  -0.4294    0.0 -0.4493 -0.4094   True
     7     13   -0.407    0.0  -0.427 -0.3871   True
     7     14  -0.4074    0.0 -0.4274 -0.3874   True
     7     15  -0.4062    0.0 -0.4262 -0.3862   True
     7     16   -0.318    0.0 -0.3379  -0.298   True
